,Put,Call,Put - Volume,Call - Volume
10.0,0.0,8.73,0,0
11.0,0.0,7.73,0,0
12.0,0.0,6.73,0,0
13.0,0.0,5.73,0,0
14.0,0.01,4.73,0,0
15.0,0.04,3.73,0,0
16.0,0.13,2.76,0,0
17.0,0.33,1.92,0,0
18.0,0.72,1.29,0,0
19.0,1.1,0.66,0,13
20.0,1.79,0.35,0,10
21.0,2.61,0.17,0,0
22.0,3.52,0.08,0,0
23.0,4.47,0.03,0,0
24.0,5.45,0.01,0,0
25.0,6.44,0.01,0,0
26.0,7.43,0.0,0,0
27.0,8.43,0.0,0,0
28.0,9.42,0.0,0,0
29.0,10.42,0.0,0,0
