,Put,Call,Put - Volume,Call - Volume
110.0,0.08,49.59,10,0
115.0,0.1,44.63,0,0
120.0,0.16,39.71,0,0
125.0,0.23,34.79,1,0
130.0,0.3,29.88,20,0
135.0,0.38,24.97,0,0
140.0,0.52,20.13,31,0
145.0,0.88,15.49,3,0
150.0,1.52,11.15,5,0
155.0,2.75,7.38,74,4
160.0,4.73,4.35,2,87
165.0,7.69,2.28,0,5
170.0,11.45,0.95,0,10
175.0,16.03,0.43,0,0
180.0,20.95,0.25,0,0
185.0,25.94,0.15,0,0
190.0,30.94,0.09,0,0
195.0,35.94,0.06,0,0
200.0,40.94,0.04,0,0
