,Put,Call
148.0,0.0,0.0
149.0,0.0,0.0
150.0,0.1,19.03
152.5,0.14,16.57
155.0,0.21,14.14
157.5,0.34,11.78
160.0,0.47,9.41
162.5,0.86,7.31
165.0,1.26,5.2
167.5,2.14,3.58
170.0,3.03,1.96
172.5,4.78,1.21
175.0,6.66,0.57
177.5,8.88,0.25
180.0,11.34,0.21
182.5,13.82,0.18
185.0,16.3,0.14
187.5,18.78,0.11
190.0,21.26,0.08
192.5,23.76,0.05
