,Put,Call,Put - Volume,Call - Volume
90.0,0.67,11.93,109,22
91.0,0.78,11.05,1057,0
92.0,0.93,10.2,137,6
93.0,1.1,9.37,56,5
94.0,1.29,8.57,65,0
95.0,1.51,7.79,99,24
96.0,1.76,7.04,243,36
97.0,2.07,6.35,103,12
98.0,2.42,5.7,691,15
99.0,2.77,5.05,173,46
100.0,3.12,4.4,125,386
101.0,3.61,3.9,98,76
102.0,4.11,3.4,2,45
103.0,4.6,2.89,0,53
104.0,5.13,2.42,5,158
105.0,5.83,2.12,2,147
106.0,6.53,1.83,0,21
107.0,7.24,1.53,0,271
108.0,7.94,1.24,0,122
109.0,8.76,1.05,0,68
