,Put,Call,Put - Volume,Call - Volume
2.5,0.0,9.12,0,0
5.0,0.0,6.62,0,0
7.5,0.0,4.12,0,0
10.0,0.13,1.73,0,0
12.5,1.09,0.2,0,6
15.0,3.39,0.01,0,0
17.5,5.88,0.0,0,0
