,Put,Call
290.0,0.75,26.01
292.5,0.0,0.0
295.0,1.23,21.5
297.5,1.53,19.31
300.0,1.84,17.11
302.5,2.35,15.14
305.0,2.87,13.16
307.5,3.47,11.26
310.0,4.3,9.59
312.5,5.3,8.09
315.0,6.38,6.66
317.5,7.59,5.38
320.0,8.97,4.25
322.5,10.55,3.33
325.0,12.26,2.53
327.5,14.12,1.89
330.0,16.16,1.42
332.5,18.28,1.02
335.0,20.51,0.74
337.5,22.83,0.55
