,Put,Call,Put - Volume,Call - Volume
217.5,0.85,26.34,1000,9
220.0,1.07,24.07,2067,68
222.5,1.34,21.84,1419,20
225.0,1.71,19.71,1968,42
227.5,2.13,17.63,1244,157
230.0,2.65,15.66,1772,164
232.5,3.28,13.78,833,86
235.0,4.03,12.03,1308,384
237.5,4.88,10.38,1897,253
240.0,5.85,8.85,2227,3288
242.5,6.93,7.44,3070,1502
245.0,8.21,6.21,414,2388
247.5,9.49,4.98,130,707
250.0,10.99,3.97,319,2497
252.5,12.65,3.13,208,1032
255.0,14.45,2.42,169,2650
257.5,16.44,1.89,99,888
260.0,18.49,1.42,7,2525
262.5,20.59,1.0,0,1125
265.0,22.88,0.77,14,1106
