,Put,Call,Put - Volume,Call - Volume
217.5,1.25,27.2,641,0
220.0,1.46,24.92,867,7
222.5,1.79,22.75,245,4
225.0,2.21,20.68,963,6
227.5,2.63,18.6,218,0
230.0,3.28,16.75,592,18
232.5,3.94,14.91,135,15
235.0,4.6,13.07,333,52
237.5,5.31,11.27,170,17
240.0,6.38,9.84,760,243
242.5,7.45,8.4,244,510
245.0,8.52,6.96,417,751
247.5,9.89,5.82,45,153
250.0,11.26,4.67,65,432
252.5,12.79,3.67,22,210
255.0,14.49,2.85,5,662
257.5,16.32,2.14,36,232
260.0,18.45,1.73,3,952
262.5,20.59,1.33,0,145
265.0,22.83,1.01,79,255
