,Put,Call,Put - Volume,Call - Volume
88.0,0.38,12.3,255,8
89.0,0.47,11.39,327,11
90.0,0.57,10.49,1023,56
91.0,0.69,9.61,179,34
92.0,0.85,8.78,1743,495
93.0,1.02,7.95,750,261
94.0,1.22,7.15,662,179
95.0,1.5,6.43,2210,396
96.0,1.79,5.72,1470,208
97.0,2.11,5.04,353,508
98.0,2.48,4.41,694,552
99.0,2.92,3.85,693,1132
100.0,3.37,3.3,518,1616
101.0,3.91,2.83,252,2542
102.0,4.46,2.38,373,429
103.0,5.01,1.94,125,1792
104.0,5.73,1.65,320,1407
105.0,6.45,1.37,231,1696
106.0,7.19,1.11,65,308
107.0,7.99,0.9,0,319
