,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,1020,-0.12,-0.127,0.023,0.107,1131,0.55,0.52
387.0,2213,-0.142,-0.141,0.026,0.12,2577,0.66,0.63
388.0,5416,-0.166,-0.154,0.029,0.134,2175,0.77,0.76
389.0,4655,-0.195,-0.167,0.033,0.148,1624,0.96,0.93
390.0,7346,-0.227,-0.179,0.036,0.161,1361,1.14,1.11
391.0,5258,-0.262,-0.191,0.04,0.174,1404,1.37,1.33
392.0,5929,-0.302,-0.201,0.043,0.186,4415,1.59,1.58
393.0,4376,-0.344,-0.208,0.046,0.197,2274,1.93,1.86
394.0,3048,-0.39,-0.212,0.049,0.205,2852,2.26,2.19
395.0,4753,-0.439,-0.213,0.051,0.211,1713,2.65,2.57
396.0,2275,-0.491,-0.211,0.052,0.213,1653,2.99,3.0
397.0,2120,-0.544,-0.205,0.053,0.212,1699,2.47,3.48
398.0,1875,-0.597,-0.195,0.053,0.207,1650,1.96,4.03
399.0,300,-0.651,-0.182,0.051,0.198,1473,1.64,4.63
400.0,176,-0.703,-0.166,0.049,0.185,1886,1.48,5.28
401.0,61,-0.753,-0.146,0.046,0.168,855,1.04,5.99
402.0,96,-0.799,-0.125,0.043,0.149,495,5.34,6.75
403.0,0,-0.843,-0.103,0.038,0.127,111,5.2,7.55
404.0,6,-0.88,-0.082,0.034,0.105,21,3.08,8.4
405.0,0,-0.913,-0.061,0.029,0.082,4,6.21,9.29
