,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,365,-0.231,-0.154,0.021,0.233,221,2.07,2.01
387.0,534,-0.251,-0.159,0.022,0.244,298,2.5,2.23
388.0,995,-0.272,-0.164,0.023,0.254,235,2.53,2.46
389.0,1036,-0.295,-0.169,0.024,0.264,373,2.86,2.72
390.0,2382,-0.318,-0.172,0.025,0.273,471,3.04,2.99
391.0,1363,-0.343,-0.175,0.026,0.281,480,3.38,3.29
392.0,1714,-0.369,-0.178,0.027,0.289,334,3.75,3.62
393.0,1649,-0.396,-0.179,0.028,0.295,392,4.07,3.95
394.0,2154,-0.424,-0.179,0.029,0.3,425,4.44,4.34
395.0,870,-0.452,-0.178,0.029,0.303,97,4.84,4.74
396.0,526,-0.482,-0.177,0.03,0.305,0,5.17,5.16
397.0,718,-0.512,-0.174,0.03,0.305,0,4.61,5.63
398.0,447,-0.543,-0.171,0.031,0.303,1,4.13,6.12
399.0,142,-0.574,-0.166,0.031,0.3,0,3.64,6.65
400.0,141,-0.605,-0.16,0.03,0.294,1,3.65,7.21
401.0,36,-0.637,-0.152,0.03,0.287,0,2.98,7.79
402.0,12,-0.667,-0.145,0.03,0.277,1,2.68,8.42
403.0,5,-0.698,-0.136,0.029,0.266,0,3.4,9.07
404.0,0,-0.728,-0.126,0.028,0.253,0,1.62,9.76
405.0,3,-0.758,-0.116,0.027,0.237,0,4.47,10.48
