,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
387.5,41,-0.327,-0.105,0.015,0.446,461,5.33,5.2
388.0,320,-0.334,-0.106,0.016,0.45,3880,5.42,5.34
389.0,368,-0.349,-0.106,0.016,0.457,853,5.71,5.63
390.0,1215,-0.365,-0.106,0.017,0.464,2860,6.04,5.93
391.0,1007,-0.381,-0.106,0.017,0.471,447,6.21,6.26
392.0,367,-0.398,-0.106,0.017,0.476,998,6.7,6.59
392.5,99,-0.406,-0.106,0.017,0.479,277,6.89,6.76
393.0,299,-0.415,-0.106,0.018,0.481,578,6.92,6.95
394.0,838,-0.432,-0.105,0.018,0.485,485,7.43,7.32
395.0,408,-0.45,-0.104,0.018,0.488,1790,7.88,7.7
396.0,214,-0.469,-0.103,0.019,0.49,554,8.16,8.12
397.0,53,-0.487,-0.102,0.019,0.491,693,7.81,8.55
397.5,40,-0.497,-0.102,0.019,0.492,861,7.58,8.77
398.0,62,-0.506,-0.101,0.019,0.491,1211,7.08,8.99
399.0,97,-0.526,-0.099,0.019,0.49,1532,6.37,9.46
400.0,115,-0.545,-0.097,0.019,0.488,1018,5.88,9.95
401.0,9,-0.565,-0.095,0.02,0.484,308,6.65,10.46
402.0,37,-0.585,-0.092,0.02,0.479,115,6.47,10.99
403.0,7,-0.606,-0.089,0.02,0.472,162,5.82,11.53
404.0,14,-0.626,-0.086,0.02,0.464,80,4.21,12.11
