,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,1147,-0.218,-0.151,0.021,0.217,605,1.79,1.74
387.0,460,-0.239,-0.158,0.023,0.229,1281,2.0,1.95
388.0,1285,-0.261,-0.164,0.024,0.24,1558,2.23,2.17
389.0,665,-0.285,-0.169,0.025,0.25,1269,2.49,2.41
390.0,1006,-0.31,-0.173,0.027,0.26,2827,2.78,2.68
391.0,1957,-0.336,-0.177,0.028,0.269,741,3.0,2.97
392.0,3264,-0.363,-0.179,0.029,0.277,528,3.36,3.29
393.0,1222,-0.392,-0.181,0.03,0.283,413,3.72,3.63
394.0,691,-0.422,-0.182,0.031,0.288,876,4.05,4.0
395.0,1228,-0.453,-0.181,0.032,0.292,507,4.46,4.4
396.0,909,-0.485,-0.18,0.032,0.294,470,4.85,4.83
397.0,880,-0.517,-0.177,0.033,0.294,500,4.3,5.3
398.0,408,-0.55,-0.173,0.033,0.291,489,3.78,5.8
399.0,56,-0.584,-0.167,0.033,0.287,657,3.29,6.33
400.0,161,-0.617,-0.161,0.033,0.281,476,2.91,6.9
401.0,96,-0.65,-0.153,0.032,0.272,831,2.56,7.51
402.0,20,-0.683,-0.144,0.031,0.262,532,2.2,8.14
403.0,6,-0.716,-0.134,0.031,0.249,177,2.06,8.81
404.0,3,-0.747,-0.123,0.029,0.234,0,1.49,9.52
405.0,0,-0.778,-0.112,0.028,0.218,1,4.55,10.26
