,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,5096,-0.068,-0.094,0.019,0.059,1515,0.22,0.2
387.0,4362,-0.084,-0.107,0.023,0.069,2526,0.26,0.25
388.0,27453,-0.105,-0.123,0.028,0.081,4121,0.35,0.32
389.0,8344,-0.132,-0.143,0.034,0.096,2233,0.45,0.43
390.0,24060,-0.165,-0.161,0.04,0.111,3186,0.59,0.55
391.0,14206,-0.204,-0.181,0.046,0.127,4031,0.76,0.7
392.0,12334,-0.25,-0.198,0.053,0.142,3105,0.95,0.89
393.0,13316,-0.304,-0.214,0.06,0.157,2104,1.22,1.14
394.0,10269,-0.364,-0.224,0.065,0.168,1811,1.55,1.44
395.0,7322,-0.43,-0.23,0.07,0.176,3139,1.92,1.8
396.0,1528,-0.5,-0.229,0.072,0.179,4313,2.23,2.24
397.0,1214,-0.573,-0.221,0.072,0.176,5767,1.78,2.76
398.0,1012,-0.643,-0.207,0.069,0.167,6867,1.4,3.36
399.0,113,-0.712,-0.185,0.064,0.153,6244,1.14,4.02
400.0,325,-0.773,-0.16,0.057,0.135,4395,0.83,4.75
401.0,32,-0.827,-0.134,0.049,0.114,3215,0.78,5.55
402.0,3,-0.873,-0.105,0.04,0.092,5,0.46,6.4
403.0,3,-0.909,-0.081,0.031,0.072,2,7.44,7.29
404.0,5,-0.936,-0.06,0.023,0.055,3,1.68,8.22
405.0,0,-0.955,-0.043,0.013,0.039,4,5.64,9.17
