,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
387.5,1176,-0.279,-0.171,0.021,0.266,4601,2.92,2.82
388.0,2341,-0.289,-0.173,0.022,0.271,8438,3.02,2.94
389.0,2201,-0.31,-0.177,0.022,0.28,3761,3.29,3.21
390.0,11944,-0.332,-0.18,0.023,0.288,15822,3.59,3.5
391.0,2858,-0.355,-0.182,0.024,0.295,1859,3.92,3.81
392.0,5113,-0.378,-0.184,0.025,0.302,2499,4.23,4.14
392.5,1358,-0.391,-0.185,0.025,0.304,2366,4.41,4.32
393.0,2610,-0.403,-0.185,0.025,0.307,4036,4.61,4.5
394.0,1473,-0.428,-0.185,0.026,0.311,2888,4.97,4.88
395.0,4480,-0.455,-0.184,0.027,0.314,11593,5.38,5.28
396.0,1751,-0.481,-0.183,0.027,0.316,3226,5.71,5.72
397.0,426,-0.509,-0.181,0.027,0.316,2281,5.21,6.18
397.5,290,-0.522,-0.179,0.027,0.316,2376,4.97,6.41
398.0,498,-0.536,-0.177,0.028,0.315,3653,4.73,6.66
399.0,462,-0.564,-0.173,0.028,0.312,2869,4.16,7.18
400.0,1172,-0.592,-0.168,0.028,0.307,4563,3.79,7.73
401.0,1449,-0.621,-0.161,0.027,0.301,1815,3.4,8.29
402.0,401,-0.649,-0.154,0.027,0.293,1211,2.99,8.9
403.0,151,-0.677,-0.146,0.027,0.284,1100,2.63,9.53
404.0,5,-0.705,-0.138,0.026,0.273,2060,2.36,10.2
