,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,5419,-0.096,-0.115,0.022,0.084,1299,0.38,0.35
387.0,5482,-0.117,-0.131,0.025,0.097,2353,0.45,0.44
388.0,9321,-0.14,-0.145,0.029,0.11,2768,0.56,0.55
389.0,7094,-0.169,-0.162,0.034,0.125,1373,0.71,0.68
390.0,14146,-0.202,-0.178,0.038,0.139,4300,0.88,0.84
391.0,9071,-0.24,-0.193,0.043,0.154,895,1.06,1.03
392.0,7283,-0.283,-0.206,0.048,0.167,1857,1.33,1.26
393.0,5320,-0.33,-0.216,0.052,0.179,1593,1.61,1.53
394.0,5150,-0.382,-0.223,0.055,0.188,1186,1.95,1.86
395.0,3804,-0.438,-0.226,0.058,0.194,2502,2.33,2.23
396.0,2075,-0.497,-0.224,0.06,0.197,2898,2.67,2.67
397.0,731,-0.557,-0.218,0.06,0.195,5431,2.17,3.17
398.0,270,-0.618,-0.207,0.059,0.188,4195,1.77,3.74
399.0,277,-0.677,-0.191,0.056,0.177,1845,1.41,4.37
400.0,324,-0.733,-0.17,0.053,0.162,1623,1.17,5.05
401.0,66,-0.784,-0.149,0.048,0.144,1048,0.76,5.8
402.0,157,-0.831,-0.124,0.042,0.124,1104,0.71,6.6
403.0,81,-0.871,-0.101,0.036,0.103,43,0.41,7.44
404.0,11,-0.903,-0.08,0.029,0.083,5,0.91,8.33
405.0,16,-0.929,-0.061,0.023,0.065,13,0.34,9.25
