,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,1354,-0.179,-0.122,0.023,0.185,1285,1.16,1.13
387.0,540,-0.201,-0.13,0.025,0.199,0,1.31,1.29
388.0,5741,-0.225,-0.136,0.027,0.212,2570,1.47,1.48
389.0,2153,-0.25,-0.143,0.029,0.225,2157,1.74,1.68
390.0,6125,-0.278,-0.148,0.031,0.237,2702,1.98,1.91
391.0,1585,-0.308,-0.153,0.033,0.249,713,2.26,2.17
392.0,2699,-0.34,-0.157,0.034,0.259,978,2.52,2.46
393.0,2422,-0.374,-0.16,0.036,0.268,2124,2.89,2.78
394.0,1488,-0.41,-0.161,0.037,0.275,1281,3.26,3.14
395.0,772,-0.448,-0.161,0.039,0.28,1405,3.67,3.53
396.0,375,-0.486,-0.159,0.039,0.282,3292,3.93,3.96
397.0,391,-0.526,-0.156,0.04,0.281,949,3.44,4.43
398.0,230,-0.566,-0.151,0.04,0.278,1801,2.97,4.95
399.0,96,-0.607,-0.145,0.04,0.271,1734,2.59,5.5
400.0,458,-0.648,-0.136,0.039,0.262,2014,2.2,6.1
401.0,1,-0.687,-0.127,0.038,0.25,2736,1.7,6.75
402.0,1,-0.727,-0.116,0.037,0.234,2457,1.74,7.43
403.0,0,-0.764,-0.104,0.035,0.216,489,5.88,8.15
404.0,0,-0.799,-0.092,0.033,0.197,46,-0.54,8.92
405.0,20,-0.833,-0.079,0.03,0.175,22,0.97,9.72
