,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,390,-0.273,-0.133,0.018,0.321,2735,3.29,3.23
387.0,740,-0.291,-0.135,0.018,0.33,3304,3.54,3.47
388.0,1065,-0.309,-0.137,0.019,0.339,3005,3.79,3.74
389.0,516,-0.327,-0.139,0.02,0.348,2590,4.12,4.02
390.0,5893,-0.346,-0.14,0.02,0.356,4177,4.45,4.31
391.0,1152,-0.366,-0.141,0.021,0.363,1758,4.66,4.63
392.0,1234,-0.387,-0.142,0.022,0.369,2223,5.08,4.97
393.0,659,-0.409,-0.142,0.022,0.374,2647,5.41,5.32
394.0,1112,-0.431,-0.142,0.023,0.378,1823,5.85,5.7
395.0,1179,-0.453,-0.141,0.023,0.381,3038,6.23,6.11
396.0,445,-0.476,-0.139,0.023,0.383,2377,6.58,6.53
397.0,297,-0.5,-0.138,0.024,0.384,1474,5.97,6.97
398.0,235,-0.524,-0.136,0.024,0.383,1571,5.44,7.45
399.0,151,-0.548,-0.133,0.024,0.381,1773,4.95,7.94
400.0,2725,-0.573,-0.129,0.024,0.377,2901,4.45,8.47
401.0,62,-0.598,-0.126,0.024,0.372,1691,4.51,9.03
402.0,86,-0.623,-0.121,0.024,0.365,3758,3.69,9.59
403.0,34,-0.648,-0.116,0.024,0.356,625,3.19,10.19
404.0,12,-0.673,-0.11,0.024,0.346,570,2.71,10.82
405.0,29,-0.698,-0.104,0.023,0.334,1149,2.43,11.48
