,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
387.5,3910,-0.176,-0.153,0.027,0.148,2831,0.94,0.91
388.0,16410,-0.188,-0.159,0.029,0.155,6803,1.03,0.99
389.0,11173,-0.216,-0.17,0.031,0.168,3334,1.21,1.17
390.0,71285,-0.247,-0.181,0.034,0.181,13456,1.44,1.38
391.0,13237,-0.281,-0.19,0.037,0.193,4321,1.67,1.61
392.0,12472,-0.317,-0.197,0.04,0.204,5831,1.97,1.87
392.5,6010,-0.337,-0.2,0.041,0.209,3196,2.13,2.02
393.0,12429,-0.356,-0.202,0.042,0.214,7221,2.23,2.17
394.0,6584,-0.398,-0.205,0.044,0.221,3419,2.63,2.51
395.0,18615,-0.443,-0.205,0.046,0.226,6296,3.03,2.89
396.0,3226,-0.489,-0.203,0.047,0.229,4742,3.32,3.32
397.0,2425,-0.537,-0.198,0.048,0.228,4751,2.8,3.8
397.5,379,-0.561,-0.195,0.048,0.226,2017,2.58,4.06
398.0,646,-0.586,-0.189,0.048,0.223,5648,2.34,4.32
399.0,167,-0.634,-0.179,0.047,0.215,5778,1.88,4.91
400.0,1390,-0.682,-0.165,0.046,0.204,4905,1.68,5.54
401.0,28,-0.728,-0.149,0.043,0.19,3109,1.13,6.22
402.0,73,-0.773,-0.131,0.041,0.172,1434,0.99,6.95
402.5,3,-0.794,-0.122,0.039,0.162,861,4.9,7.33
403.0,16,-0.815,-0.112,0.038,0.152,498,0.82,7.72
