,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,1965,-0.296,-0.12,0.016,0.383,7405,4.3,4.24
387.0,2108,-0.311,-0.121,0.016,0.392,8266,4.55,4.5
388.0,7551,-0.327,-0.122,0.017,0.4,15496,4.84,4.78
389.0,3053,-0.343,-0.123,0.017,0.407,6835,5.13,5.07
390.0,17646,-0.36,-0.124,0.018,0.414,68984,5.46,5.37
391.0,5082,-0.377,-0.124,0.018,0.421,5401,5.78,5.69
392.0,1845,-0.395,-0.124,0.019,0.426,8425,6.11,6.03
393.0,4097,-0.414,-0.123,0.019,0.431,12849,6.5,6.38
394.0,3066,-0.432,-0.123,0.019,0.435,8214,6.82,6.76
395.0,7045,-0.452,-0.122,0.02,0.438,67619,7.27,7.14
396.0,3610,-0.472,-0.121,0.02,0.44,17705,7.5,7.57
397.0,1567,-0.492,-0.119,0.02,0.441,14950,7.07,7.99
398.0,610,-0.512,-0.118,0.021,0.441,8936,6.32,8.45
399.0,548,-0.533,-0.116,0.021,0.439,8225,5.96,8.94
400.0,3540,-0.554,-0.113,0.021,0.437,40612,5.48,9.44
401.0,322,-0.576,-0.11,0.021,0.432,6386,4.96,9.96
402.0,340,-0.597,-0.107,0.021,0.427,5821,4.39,10.51
403.0,53,-0.619,-0.103,0.021,0.42,7083,4.02,11.07
404.0,181,-0.641,-0.099,0.021,0.411,7578,3.75,11.67
405.0,244,-0.663,-0.095,0.021,0.401,5357,3.23,12.28
