,Volume,Delta,Theta,Gamma,Vega,OI,Time Value,Last
386.0,1222,-0.162,-0.117,0.023,0.166,1194,0.95,0.92
387.0,555,-0.184,-0.125,0.025,0.18,0,1.11,1.07
388.0,5366,-0.208,-0.133,0.028,0.194,1834,1.28,1.24
389.0,1108,-0.235,-0.14,0.03,0.208,829,1.44,1.43
390.0,3578,-0.265,-0.147,0.032,0.221,3971,1.72,1.65
391.0,1693,-0.296,-0.153,0.035,0.234,301,2.0,1.9
392.0,3338,-0.33,-0.158,0.037,0.245,412,2.26,2.18
393.0,919,-0.367,-0.161,0.039,0.255,1387,2.62,2.49
394.0,1024,-0.405,-0.163,0.04,0.262,762,2.94,2.84
395.0,643,-0.446,-0.163,0.042,0.267,648,3.35,3.23
396.0,221,-0.488,-0.161,0.043,0.27,233,3.66,3.66
397.0,202,-0.531,-0.157,0.043,0.269,260,3.2,4.13
398.0,61,-0.574,-0.152,0.043,0.265,873,2.69,4.66
399.0,56,-0.618,-0.145,0.043,0.257,294,2.19,5.23
400.0,124,-0.662,-0.135,0.042,0.247,708,1.71,5.84
401.0,7,-0.705,-0.125,0.04,0.233,432,1.81,6.5
402.0,5,-0.745,-0.113,0.038,0.216,171,1.35,7.21
403.0,2,-0.785,-0.099,0.036,0.196,76,1.27,7.95
404.0,3,-0.822,-0.086,0.033,0.175,14,0.74,8.74
405.0,16,-0.856,-0.072,0.031,0.151,4,0.76,9.56
