,S&P
268,HAL
269,KHC
270,WY
271,GLW
272,APTV
273,GWW
274,CPRT
275,EBAY
276,IT
277,AEE
278,ODFL
279,EPAM
280,SIVB
281,ETR
282,FITB
283,EFX
284,WTW
285,CDW
286,CTRA
287,DHI
288,FE
289,ARE
290,ULTA
291,FTV
292,GPC
293,ZBH
294,DRE
295,TSCO
296,WST
297,VMC
298,FANG
299,BKR
300,HIG
301,PPL
302,ABC
303,LUV
304,LH
305,ANSS
306,URI
307,MLM
308,NDAQ
309,TSN
310,LYB
311,CF
312,RF
313,RJF
314,PWR
315,MOH
316,NTRS
317,CNP
318,STE
319,LEN
320,DAL
321,HBAN
322,CMS
323,MOS
324,IR
325,BR
326,CAH
327,MAA
328,CHD
329,MKC
330,VTR
331,BALL
332,TTWO
333,MPWR
334,WAT
335,ALGN
336,CFG
337,AMCR
338,DOV
339,MRO
340,AES
341,VRSN
342,K
343,PFG
344,CLX
345,ESS
346,TDY
347,PKI
348,PAYC
349,SEDG
350,HPE
351,HOLX
352,XYL
353,KEY
354,EXPD
355,FDS
356,WAB
357,DRI
358,MTCH
359,CTLT
360,FLT
361,ATO
362,SWKS
363,CAG
364,SYF
365,J
366,EVRG
367,NTAP
368,ZBRA
369,IEX
370,EXPE
371,LNT
372,AVY
373,DGX
374,TYL
375,IP
376,TRMB
377,IRM
378,BRO
379,BBY
380,COO
381,SJM
382,CINF
383,CHRW
384,GNRC
385,AKAM
386,JKHY
387,KMX
388,LKQ
389,PEAK
390,WRB
391,JBHT
392,CPT
393,OMC
394,POOL
395,TXT
396,UDR
397,TER
398,FMC
399,VFC
400,PARA
401,ETSY
402,HWM
403,NLOK
404,GRMN
405,INCY
406,KIM
407,SWK
408,DPZ
409,TECH
410,WDC
411,LDOS
412,BF.B
413,STX
414,HRL
415,PKG
416,CBOE
417,NVR
418,LVS
419,CTXS
420,PTC
421,NDSN
422,APA
423,HST
424,ABMD
425,UAL
426,NI
427,MAS
428,LYV
429,CE
430,BXP
431,MGM
432,SNA
433,EMN
434,VTRS
435,LW
436,SBNY
437,RE
438,AAP
439,CMA
440,L
441,TFX
442,IPG
443,FOXA
444,WRK
445,BIO
446,CRL
447,NRG
448,HAS
449,HSIC
450,RCL
451,NLSN
452,QRVO
453,CZR
