,Put,Call
133.0,6.53,13.35
134.0,6.93,12.76
135.0,7.36,12.19
136.0,7.78,11.61
137.0,8.23,11.06
138.0,8.7,10.53
139.0,9.18,10.01
140.0,9.66,9.5
141.0,10.19,9.03
142.0,10.73,8.57
143.0,11.26,8.11
144.0,11.83,7.68
145.0,12.43,7.28
146.0,13.03,6.88
147.0,13.63,6.47
148.0,14.25,6.1
149.0,14.9,5.75
150.0,15.58,5.43
152.5,17.3,4.65
155.0,19.13,3.97
