,Put,Call
133.0,5.18,11.71
134.0,5.55,11.09
135.0,5.99,10.53
136.0,6.43,9.97
137.0,6.88,9.41
138.0,7.37,8.9
139.0,7.86,8.39
140.0,8.37,7.91
141.0,8.89,7.43
142.0,9.44,6.97
143.0,10.01,6.55
144.0,10.58,6.13
145.0,11.18,5.72
146.0,11.83,5.38
147.0,12.48,5.03
148.0,13.13,4.68
149.0,13.79,4.33
150.0,14.51,4.05
152.5,16.31,3.35
155.0,18.23,2.77
