,Put,Call
165.0,2.33,15.94
167.5,2.95,14.07
170.0,3.58,12.2
172.5,4.26,10.38
175.0,5.37,8.99
177.5,6.48,7.6
180.0,7.59,6.21
182.5,8.98,5.1
185.0,10.51,4.13
187.5,12.28,3.41
190.0,14.06,2.68
192.5,15.84,1.95
195.0,17.95,1.56
197.5,20.07,1.17
200.0,22.19,0.78
202.5,24.57,0.65
205.0,26.96,0.53
210.0,31.78,0.33
215.0,36.72,0.26
220.0,41.66,0.19
