,Put,Call,Put - Volume,Call - Volume
20.0,0.0,18.1,0,0
22.5,0.01,15.61,0,0
25.0,0.02,13.12,0,0
30.0,0.1,8.18,15,0
35.0,0.4,3.37,3,0
40.0,2.82,0.38,1,310
45.0,7.55,0.01,0,0
50.0,12.53,0.0,0,0
55.0,17.52,0.0,0,0
60.0,22.5,0.0,0,0
