,Put,Call
387.5,2.82,11.84
388.0,2.94,11.47
389.0,3.21,10.74
390.0,3.5,10.02
391.0,3.81,9.33
392.0,4.14,8.67
392.5,4.32,8.34
393.0,4.5,8.02
394.0,4.88,7.4
395.0,5.28,6.8
396.0,5.72,6.23
397.0,6.18,5.68
397.5,6.41,5.42
398.0,6.66,5.16
399.0,7.18,4.68
400.0,7.73,4.22
401.0,8.29,3.78
402.0,8.9,3.38
403.0,9.53,3.0
404.0,10.2,2.66
