,Put,Call
386.0,1.74,12.09
387.0,1.95,11.29
388.0,2.17,10.52
389.0,2.41,9.76
390.0,2.68,9.03
391.0,2.97,8.32
392.0,3.29,7.63
393.0,3.63,6.97
394.0,4.0,6.34
395.0,4.4,5.74
396.0,4.83,5.17
397.0,5.3,4.63
398.0,5.8,4.13
399.0,6.33,3.66
400.0,6.9,3.22
401.0,7.51,2.82
402.0,8.14,2.45
403.0,8.81,2.11
404.0,9.52,1.81
405.0,10.26,1.54
