,Put,Call,Put - Volume,Call - Volume
133.0,5.95,17.18,340,46
134.0,6.3,16.54,1072,349
135.0,6.65,15.89,3793,2269
136.0,7.05,15.29,783,1461
137.0,7.45,14.69,538,1074
138.0,7.85,14.09,766,935
139.0,8.25,13.49,1765,702
140.0,8.7,12.95,5006,2335
141.0,9.15,12.4,740,295
142.0,9.63,11.87,1675,1481
145.0,11.12,10.38,2301,4817
150.0,13.95,8.2,1140,14260
152.5,15.45,7.2,388,901
155.0,17.1,6.35,205,8831
157.5,18.82,5.57,167,607
160.0,20.65,4.9,135,3749
165.0,24.51,3.75,24,1408
170.0,28.64,2.88,39,15736
175.0,32.99,2.2,36,3413
180.0,37.5,1.71,19,3445
