,Put,Call,Put - Volume,Call - Volume
134.0,4.46,14.45,590,236
135.0,4.78,13.76,2504,5521
136.0,5.15,13.13,570,286
137.0,5.53,12.51,1007,224
138.0,5.9,11.89,919,879
139.0,6.3,11.29,757,503
140.0,6.72,10.71,3577,1942
141.0,7.18,10.16,1704,609
142.0,7.63,9.61,2224,2316
143.0,8.1,9.09,2292,2650
144.0,8.61,8.6,2836,4087
145.0,9.12,8.1,6417,5882
146.0,9.64,7.63,1721,1942
147.0,10.21,7.2,847,1957
148.0,10.79,6.78,498,1036
149.0,11.39,6.38,941,663
150.0,11.99,5.97,1312,8688
152.5,13.61,5.1,327,2307
155.0,15.31,4.3,495,3727
157.5,17.17,3.65,81,613
