,Put,Call,Put - Volume,Call - Volume
133.0,6.53,17.92,173,41
134.0,6.88,17.27,390,40
135.0,7.25,16.65,418,129
136.0,7.64,16.04,316,15
137.0,8.03,15.43,288,11
138.0,8.42,14.82,91,13
139.0,8.87,14.28,156,204
140.0,9.32,13.73,275,1098
141.0,9.78,13.19,353,182
142.0,10.25,12.66,463,196
145.0,11.71,11.13,810,710
150.0,14.51,8.93,87,1892
155.0,17.63,7.05,47,813
160.0,21.11,5.53,68,1367
165.0,24.92,4.32,7,551
170.0,28.96,3.35,1,424
175.0,33.23,2.61,1,1115
180.0,37.72,2.07,14,435
185.0,42.3,1.63,0,152
190.0,47.01,1.32,0,129
