,Put,Call,Put - Volume,Call - Volume
133.0,5.07,16.16,301,220
134.0,5.38,15.47,121,12
135.0,5.71,14.81,1250,176
136.0,6.1,14.19,179,117
137.0,6.49,13.58,391,85
138.0,6.88,12.97,229,32
139.0,7.28,12.37,290,33
140.0,7.72,11.82,1259,947
141.0,8.18,11.27,395,123
142.0,8.63,10.72,1281,554
145.0,10.17,9.27,557,3062
150.0,13.0,7.1,119,2891
152.5,14.6,6.2,26,607
155.0,16.25,5.35,109,1190
157.5,18.05,4.65,1,332
160.0,19.85,3.95,17,1082
165.0,23.86,2.95,27,814
170.0,28.07,2.15,14,634
175.0,32.54,1.62,22,479
180.0,37.16,1.22,0,557
