,Put,Call,Put - Volume,Call - Volume
46.5,0.31,5.62,0,0
47.0,0.37,5.18,34,0
47.5,0.45,4.76,12,2
48.0,0.55,4.37,36,3
48.5,0.66,3.97,58,4
49.0,0.77,3.59,6,5
49.5,0.92,3.23,14,7
50.0,1.09,2.9,49,21
51.0,1.46,2.28,45,5
52.0,1.94,1.75,31,120
53.0,2.51,1.32,10,75
54.0,3.16,0.97,26,120
55.0,3.88,0.69,6,118
56.0,4.68,0.49,2,166
57.0,5.53,0.34,0,34
58.0,6.44,0.24,0,41
59.0,7.36,0.17,0,61
60.0,8.31,0.11,0,114
61.0,9.29,0.08,0,5
62.0,10.27,0.05,0,1
