,Put,Call
127.0,0.63,9.02
128.0,0.76,8.16
129.0,0.91,7.31
130.0,1.08,6.47
131.0,1.3,5.7
132.0,1.57,4.97
133.0,1.87,4.26
134.0,2.22,3.62
135.0,2.63,3.02
136.0,3.08,2.47
137.0,3.64,2.03
138.0,4.22,1.6
139.0,4.88,1.25
140.0,5.59,0.94
141.0,6.37,0.71
142.0,7.22,0.55
143.0,8.1,0.4
144.0,9.0,0.28
145.0,9.95,0.2
146.0,10.93,0.15
