,Put,Call
127.0,0.41,8.71
128.0,0.5,7.8
129.0,0.62,6.92
130.0,0.76,6.07
131.0,0.96,5.27
132.0,1.17,4.48
133.0,1.46,3.76
134.0,1.79,3.1
135.0,2.2,2.5
136.0,2.68,1.98
137.0,3.22,1.51
138.0,3.84,1.13
139.0,4.57,0.85
140.0,5.34,0.61
141.0,6.16,0.41
142.0,7.05,0.28
143.0,7.98,0.19
144.0,8.94,0.14
145.0,9.92,0.09
146.0,10.92,0.07
