,Put,Call
132.0,0.0,0.0
133.0,0.0,0.0
134.0,0.0,0.0
135.0,0.28,8.45
136.0,0.36,7.54
137.0,0.46,6.64
138.0,0.57,5.75
139.0,0.75,4.94
140.0,0.95,4.13
141.0,1.23,3.41
142.0,1.56,2.74
143.0,1.98,2.16
144.0,2.46,1.63
145.0,3.04,1.21
146.0,3.7,0.86
147.0,4.45,0.6
148.0,5.27,0.4
149.0,6.15,0.27
150.0,7.09,0.19
152.5,9.53,0.09
