,Put,Call,Put - Volume,Call - Volume
11.5,0.03,4.74,1,0
12.0,0.04,4.24,300,0
12.5,0.05,3.75,232,0
13.0,0.06,3.27,1,1
13.5,0.09,2.79,0,1
14.0,0.12,2.33,64,9
14.5,0.17,1.89,4,58
15.0,0.28,1.5,61,7
15.5,0.41,1.12,178,72
16.0,0.6,0.81,49,78
16.5,0.85,0.56,60,46
17.0,1.18,0.39,16,102
17.5,1.54,0.25,3,171
18.0,1.96,0.17,0,70
18.5,2.4,0.1,0,16
19.0,2.86,0.06,0,1
19.5,3.35,0.05,0,0
20.0,3.84,0.04,1,13
21.0,4.83,0.03,0,0
22.0,5.83,0.02,0,19
