,Put,Call,Put - Volume,Call - Volume
2.0,0.0,8.4,0,0
3.0,0.0,7.41,0,0
4.0,0.0,6.41,0,0
5.0,0.0,5.41,0,0
6.0,0.0,4.42,0,0
7.0,0.02,3.44,0,0
8.0,0.08,2.5,0,0
9.0,0.23,1.65,25,1
10.0,0.45,0.87,280,7
11.0,0.99,0.4,0,136
12.0,1.79,0.17,0,30
13.0,2.74,0.1,0,1
14.0,3.72,0.06,0,0
15.0,4.72,0.04,0,0
16.0,5.72,0.02,0,0
17.0,6.72,0.02,0,0
18.0,7.72,0.01,0,0
