,Put,Call
440.0,1.97,51.38
445.0,2.19,46.62
450.0,2.76,42.2
455.0,3.7,38.15
460.0,4.64,34.1
465.0,5.69,30.15
470.0,7.04,26.51
475.0,8.4,22.86
480.0,9.8,19.25
485.0,11.76,16.18
490.0,13.89,13.27
495.0,16.04,10.36
500.0,19.0,8.24
505.0,22.01,6.12
510.0,25.11,4.01
515.0,29.46,3.2
520.0,33.87,2.4
525.0,38.41,1.6
530.0,43.33,1.35
535.0,48.28,1.11
