,Put,Call
180.0,0.26,44.92
185.0,0.4,40.05
190.0,0.54,35.2
195.0,0.77,30.44
200.0,1.14,25.81
205.0,1.67,21.35
210.0,2.43,17.12
215.0,3.55,13.24
220.0,5.07,9.76
225.0,7.09,6.78
230.0,9.8,4.47
235.0,13.09,2.73
240.0,16.89,1.5
245.0,21.27,0.85
250.0,25.9,0.44
255.0,30.73,0.25
260.0,35.69,0.16
265.0,40.69,0.11
270.0,45.69,0.08
275.0,50.69,0.05
