,Put,Call,Put - Volume,Call - Volume
138.0,3.03,14.16,1,0
139.0,3.27,13.4,0,0
140.0,3.5,12.64,0,0
141.0,3.75,11.89,0,0
142.0,4.03,11.17,0,0
143.0,4.33,10.48,0,0
144.0,4.64,9.79,0,0
145.0,5.05,9.19,0,0
146.0,5.45,8.6,14,5
147.0,5.88,8.03,11,4
148.0,6.3,7.45,18,18
149.0,6.73,6.88,10,6
150.0,7.2,6.35,9,2
152.5,8.56,5.21,37,38
155.0,10.12,4.26,9,19
157.5,11.68,3.31,10,8
160.0,13.51,2.63,0,9
162.5,15.34,1.94,0,0
165.0,17.67,1.76,0,0
167.5,20.0,1.58,0,0
