,Put,Call,Put - Volume,Call - Volume
133.0,1.3,9.6,1333,360
134.0,1.5,8.8,455,194
135.0,1.75,8.05,3505,2684
136.0,2.01,7.31,1348,228
137.0,2.31,6.61,1811,205
138.0,2.64,5.94,1480,406
139.0,3.01,5.31,1016,296
140.0,3.4,4.7,3972,6122
141.0,3.85,4.15,1516,1203
142.0,4.3,3.6,3685,3816
143.0,4.8,3.1,1686,4445
144.0,5.37,2.66,332,1643
145.0,5.95,2.24,297,8934
146.0,6.59,1.88,248,984
147.0,7.27,1.55,206,3176
148.0,7.99,1.27,458,1108
149.0,8.75,1.03,667,507
150.0,9.55,0.83,784,3337
152.5,11.71,0.47,397,1054
155.0,14.01,0.25,2,1792
