,Put,Call,Put - Volume,Call - Volume
87.0,0.99,11.64,364,34
88.0,1.17,10.83,267,1293
89.0,1.38,10.04,240,51
90.0,1.61,9.27,1290,437
91.0,1.88,8.54,259,264
92.0,2.18,7.84,738,424
93.0,2.51,7.17,843,182
94.0,2.86,6.52,485,3566
95.0,3.25,5.92,740,596
96.0,3.7,5.37,782,1080
97.0,4.15,4.82,1875,2231
98.0,4.64,4.3,428,3405
99.0,5.19,3.85,105,501
100.0,5.74,3.4,139,7456
101.0,6.33,2.99,60,967
102.0,6.96,2.63,39,750
103.0,7.63,2.3,16,1479
104.0,8.33,1.99,194,1284
105.0,9.05,1.71,283,1854
106.0,9.83,1.49,203,530
