,Put,Call,Put - Volume,Call - Volume
7.5,0.32,15.26,0,0
10.0,0.34,12.78,0,0
12.5,0.36,10.31,0,0
15.0,0.37,7.83,0,0
17.5,0.39,5.36,0,0
20.0,0.41,2.88,2,0
22.5,1.1,1.08,0,2
25.0,3.09,0.55,0,1
30.0,7.89,0.34,0,0
35.0,12.79,0.22,0,0
40.0,17.7,0.11,0,0
